title,image_links,rating,total_reviews,recommendation,type,travel_duration,description,starting_price
Kandy to Ella Train Tickets - Reserved Seats,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/40/66/57/caption.jpg,4.5,378,N/A,Rail Tours,3–7 hours,Famous Blue Train Journey from Kandy to Badulla (Ella) is considered as one of the most beautiful train rides in the world…,$24
Udawalawe National Park | Private Safari Tour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/24/45/64/caption.jpg,5.0,"1,077",Recommended by 99% of travelers,4WD Tours,4 hours,"Udawalawe National Park is a destination to see elephants. Other animals in the park include leopards, jungle cats, monkeys…",$30
Private Jeep Safari at Minneriya National Park to Visit Elephants,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c8/cb/5e/caption.jpg,4.9,221,Recommended by 98% of travelers,4WD Tours,3–4 hours,"Attention: According to the weather conditions, Minneriya National Park, and Kaudulla NP are the best these days. You can…",$35
Negombo City Tour By Tuk Tuk Morning & Evening (Private),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/03/23/4f/caption.jpg,5.0,121,Recommended by 99% of travelers,Private Sightseeing Tours,2–3 hours,"Negombo is a coastal city in western Sri Lanka, located close to the Bandaranaike International Airport, making it a popular…",$15
Tuk Tuk Tour Colombo: Sightseeing Entry Fees & Food Included,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4c/96/70/caption.jpg,4.9,411,Recommended by 99% of travelers,Private Sightseeing Tours,4 hours,We offer several city tours of Colombo daily. Traveling via a tuk tuk by experienced and expert tour guides/drivers gives…,$32
Tuk Trip is Very Cheap in Colombo (All-inclusive ) city tour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/35/3a/d1/caption.jpg,4.9,110,Recommended by 98% of travelers,Private Sightseeing Tours,4 hours,"We offer daily 4-hour city tours in Colombo. Travel by tuk-tuk with experienced and expert guides/drivers, giving you the…",$32
Southern Sri Lanka Sightseeing Day Trip From Colombo & Negombo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/56/0d/c8/caption.jpg,4.8,58,Recommended by 96% of travelers,Private and Luxury,8–10 hours,"This tour covers the best part of Sri Lanka’s South Coast. You'll visit Galle, rich in colonial heritage, and explore the…",$81
Private City Day Tour in Anuradhapura,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ad/9f/9c/caption.jpg,5.0,210,Recommended by 100% of travelers,Car Tours,5 hours,Navin Lanka Tours: Your Gateway to Unforgettable Sri Lankan Adventures!  Embark on a modern and professional journey with…,$30
Mr.TukTuk Nuwara Eliya,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4e/42/14/caption.jpg,5.0,300,Recommended by 99% of travelers,Private and Luxury,4–5 hours,"This tour will let you see and experience the main attractions of Nuwara Eilya area, in just one day.  Our local guide and…",$49
Yala National Park Special Leopard Safari Tours By Dinuka Safari,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e9/25/6a/caption.jpg,5.0,65,Recommended by 100% of travelers,Day Trips,7–13 hours,This Yala safari tour offers a unique experience by combining wildlife adventure with breathtaking landscapes. Unlike other…,$22
"Discover Ella - Ella Rock, Little Adam's Peak & Nine Arch Bridge",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/44/9c/32/caption.jpg,5.0,77,Recommended by 100% of travelers,Day Trips,6–7 hours,"Take a journey to paradise with Discover Ella, your personal guide to the natural wonders of Sri Lanka's hill country. This…",$57
Whales and Dolphins Watching Tour Trincomalee,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/13/0b/31/caption.jpg,4.3,6,N/A,Private and Luxury,2–3 hours,"With all the experience we earn from our past tour times, we're trying to become a perfect Whale Watching Tour operator …",$44
Half-Day Private Trip to Waterfalls and Tea Factory,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ab/c9/55/caption.jpg,5.0,20,Recommended by 100% of travelers,Plantation Tours,3–4 hours,This is a unique tour where one can truly experience the beauty of Nuwara Eliya and its scenic views while also learning…,$25
Udawalawe National Park Half Day Jeep Safari (Private Tour),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a2/b7/59/caption.jpg,5.0,62,Recommended by 100% of travelers,4WD Tours,4 hours,"You have the option of either arranging for hotel pickup or heading directly to the Udawalawe National Park gate, where …",$24
Wilpattu National Park Safari | Jeep with Tickets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/b2/34/caption.jpg,4.9,104,Recommended by 97% of travelers,4WD Tours,4–12 hours,"The park is 1,317 square kilometers (131, 693 hectares) and ranges from 0 to 152 meters above sea level. Nearly one hundred…",$95
"Private Day Trip to Sigiriya, cave and National park Safari Tour",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/ef/00/caption.jpg,4.7,71,Recommended by 94% of travelers,Car Tours,10–12 hours,Sigiriya today is a UNESCO-listed World Heritage Site. It is one of the best-preserved examples of ancient urban planning…,$66
Private Dambulla Sigiriya Tour from Kandy with friendly chauffeur,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e6/53/7f/caption.jpg,5.0,104,Recommended by 100% of travelers,Car Tours,9–12 hours,"This private tour makes it easy with a personal driver-guide to explain the sights and scenery, and comfortable private …",$74
"2h Bentota River Safari: Crocodiles, Monkeys, Mangrove & more",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/68/bb/d0/caption.jpg,4.9,74,Recommended by 97% of travelers,Private and Luxury,2–3 hours,Embark on the Bentota River Boat Safari with us and immerse yourself in a world where nature's tranquility meets wild beauty…,$33
Wilpattu National Park Jeep Safari from Negombo / Waikkal (All Inclusive),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/f6/58/d6/caption.jpg,4.9,83,Recommended by 98% of travelers,4WD Tours,10–16 hours,Today you will enjoy an adventurous full-day safari at Wilpattu National Park including breakfast and lunch at the Park. …,$152
Minneriya National Park Elephant Jeep Safari Private Tour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/03/0e/caption.jpg,4.9,36,Recommended by 97% of travelers,Day Trips,3–5 hours,The biggest concentration of wild Asian elephants in the entire world may be found in Sri Lanka’s Minneriya National Park…,$52
Kumana National Park Half Day Jeep Safari,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4d/87/c6/caption.jpg,5.0,32,Recommended by 100% of travelers,4WD Tours,4–6 hours,visit to the Kumana National Park is a must-do activity when you holiday at Arugam Bay and we are delighted to organize …,$88
"Private Trip to Sigiriya, Dambulla & safari from Colombo/ Negombo",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/9b/bd/f4/caption.jpg,4.9,14,Recommended by 100% of travelers,Day Trips,9–12 hours,Sigiriya today is a UNESCO-listed World Heritage Site. It is one of the best-preserved examples of ancient urban planning…,$65
Handmade Tea Tour in Ella Sri Lanka,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/02/f9/94/caption.jpg,5.0,59,Recommended by 100% of travelers,Private Sightseeing Tours,2 hours,"The Handmade Tea Tour offers three primary experiences, beginning with tea plucking at our tea estate.  1. Tea Plucking: …",$30
Colombo Tuk Tuk Food Tour – All Food Charges Included,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/96/96/8b/caption.jpg,4.8,127,Recommended by 95% of travelers,Private Sightseeing Tours,2–3 hours,"Discover Colombo’s Hidden Culinary Gems – One Bite at a Time!  We know what’s best for our guests – and now, you can experience…",$32
